EVENT_ID,median_income,population_density,housing_units_density,duration,weekend,sin_time,cos_time,sin_date,cos_date,tornado_intensity,tornado_area,average_range,minimum_range,average_latitude,average_longitude,percent_land,multi_vortex
109032,43896.0,47.3,26.6,1.0,1.0,-0.9733792584604484,-0.22920039092241415,-0.4250003399695539,-0.9051931898913976,0.0,0.0,0.5,0.0,41.7661,-79.11449999999998,0.9839409722222224,0.0
517645,64146.0,24.8,11.0,9.0,1.0,-0.9681476403781076,0.25038000405444144,-0.07738647923346323,-0.9970011699250152,0.0,300.0,1.5,1.0,42.3167,-92.6156,0.9999402259459244,0.0
197611,35322.0,32.1,15.1,3.0,0.0,-0.953716950748227,0.3007057995042726,-0.8840675099433637,0.4673592171580021,0.0,225.0,2.0,1.0,33.0809,-93.17065,0.9990870557548092,0.0
87854,43134.0,16.5,8.2,2.0,0.0,-0.9883615104677608,0.15212338618991678,0.8631421280499114,-0.5049610547215204,0.0,0.0,3.5,3.0,37.49415000000001,-95.89455,0.991914027857478,0.0
98691,78680.0,1788.8,679.9,4.0,0.0,-0.1564344650402311,0.9876883405951375,0.7961828637826158,-0.6050560696488488,0.0,0.0,0.0,0.0,38.7719,-76.9443,0.9676248897442066,0.0
616381,38521.0,25.9,11.4,2.0,0.0,-0.4694715627858909,-0.8829475928589269,0.7116566222817746,0.7025274741691571,0.0,100.0,1.0,1.0,32.05735,-89.33185,0.9983994225367584,0.0
744357,41546.0,40.1,18.9,9.0,1.0,0.22069743502150108,0.9753423205085128,0.9760105506323684,-0.21772323039653174,0.0,5600.0,1.5,1.0,33.138099999999994,-92.6035,0.9848464746019712,0.0
266242,49204.0,282.4,132.0,1.0,0.0,0.7372773368101241,-0.6755902076156602,-0.9070138128026362,0.4211008707960892,0.0,0.0,2.0,2.0,40.4883,-86.07095000000002,0.9970740337506804,0.0
631043,49473.03165642418,170.1744019481447,73.23561810628874,1.0,1.0,0.4027466898587373,-0.9153114791194472,0.8717063187093219,-0.4900286664290592,0.0,0.0,1.5,1.0,30.82245,-91.9509,0.9636738180410184,0.0
178433,46975.0,9.9,4.5,5.0,0.0,-0.9222009716704516,-0.38671096163682095,0.3294084822245304,-0.9441875088341992,0.0,100.0,4.5,4.0,33.158550000000005,-98.20705,0.9897079760468628,0.0
313576,80872.0,1149.6,478.6,0.0,0.0,0.35020738125946754,-0.9366721892483976,0.6016240632249226,-0.7987793728863649,0.0,0.0,1.0,1.0,38.9569,-94.7331,0.9863929985413628,0.0
100014,64422.0,142.8,57.4,1.0,0.0,-0.8480480961564262,0.5299192642332047,0.8631421280499114,-0.5049610547215204,0.0,0.0,0.0,0.0,38.82,-94.53,0.9919571808851372,0.0
300824,51704.0,69.4,31.4,15.0,0.0,-0.9990482215818578,-0.04361938736533613,0.2470221804809355,-0.9690098257244062,0.0,100.0,3.0,3.0,41.47385,-96.69545,0.973683241252302,0.0
713795,50125.0,316.6,154.5,2.0,1.0,-0.9902680687415704,-0.13917310096006494,-0.9368813462954316,-0.34964745525122826,0.0,1500.0,1.5,1.0,28.9373,-81.65545,0.8110738487069561,0.0
366409,56488.0,32.5,14.2,13.0,1.0,-0.9600498543859288,0.27982901403099203,0.9721181966290612,-0.23449138957040985,0.0,1750.0,6.0,3.0,38.224500000000006,-97.4175,0.9974128358871864,0.0
593976,43107.0,49.7,22.0,2.0,0.0,-0.9855560590580776,-0.16934950384902486,-0.2135209154397959,-0.9769384927771816,0.0,50.0,1.5,1.0,34.587599999999995,-87.4982,0.9630228667038482,0.0
92734,51695.0,4.4,2.2,1.0,0.0,-0.7906895737438433,-0.6122172800344493,0.6287628145958344,-0.777597146973627,0.0,0.0,4.0,4.0,40.36285,-101.37,0.996568245125348,0.0
631372,47749.0,230.8,102.7,1.0,0.0,-0.3746065934159124,0.9271838545667872,0.9951053111006976,-0.09882013873287143,0.0,0.0,2.0,2.0,32.53495,-85.51859999999998,0.9865064544937888,0.0
79137,35723.0,41.8,22.8,18.0,0.0,-0.8503522249955628,0.5262139236518695,0.5808002734538009,0.8140460935082178,1.0,1760.0,2.0,1.0,36.2752,-87.97965,0.9035142012241248,0.0
706432,55586.0,12.7,5.6,0.0,0.0,-0.8362861558477592,-0.5482932295199142,0.26366549272800704,-0.9646141756912436,0.0,0.0,11.0,11.0,42.14,-97.75,0.9976679023303572,0.0
306758,54624.0,167.7,66.9,8.0,0.0,0.8571673007021123,-0.5150380749100543,0.6016240632249226,-0.7987793728863649,0.0,250.0,2.5,1.0,41.0568,-87.5947,0.9929552659387108,0.0
222946,38246.0,35.2,20.6,14.0,1.0,-0.7826081568524138,-0.6225146366376196,0.9242907221930934,-0.3816892202666588,0.0,4400.0,3.0,1.0,35.7365,-88.0558,0.9679888656924148,0.0
606463,54429.0,2718.0,1082.6,3.0,1.0,-0.9990482215818578,0.043619387365335764,-0.0859647987374467,0.9962981749346076,1.0,125.0,1.0,1.0,32.55844999999999,-96.8448,0.9589152661758068,0.0
428118,49473.03165642418,170.1744019481447,73.23561810628874,0.0,0.0,-0.9993908270190958,0.03489949670250128,0.7469720876965552,0.6648553979642865,0.0,0.0,1.0,1.0,32.72,-93.8347,0.9636738180410184,0.0
306602,34508.0,43.9,19.9,15.0,0.0,-0.2461532930289929,0.9692309097067544,0.9033558023246844,-0.4288919379124835,1.0,10560.0,1.5,0.0,32.89149999999999,-84.62549999999997,0.9917097010348034,0.0
307472,56400.0,49.6,21.3,23.0,1.0,-0.8968727415326883,-0.44228869021900136,0.6420547132365637,-0.7666588193001591,1.0,1300.0,2.0,1.0,44.0795,-90.43905,0.991808152209817,0.0
750441,58009.0,194.4,99.3,5.0,1.0,-0.7460573750616994,-0.6658816660008344,0.9368813462954316,-0.3496474552512284,0.0,50.0,1.5,1.0,30.40495,-86.62019999999998,0.8596868993050422,0.0
310525,34794.0,21.5,10.5,18.0,0.0,-0.9320078692827984,-0.3624380382837018,0.9721181966290612,-0.23449138957040985,1.0,6000.0,1.5,1.0,32.3373,-87.66505000000002,0.9941078897290035,0.0
160803,48587.0,311.3,128.5,20.0,0.0,-0.8746197071393961,0.4848096202463365,0.9679377830240642,-0.2511900638848193,0.0,750.0,6.5,5.0,33.775,-102.06,0.9943377373154212,0.0
286921,40679.0,12.7,6.4,1.0,1.0,-0.9772311064626787,0.21217767215644606,0.8406184056344782,0.5416278206559814,0.0,0.0,3.0,3.0,39.6601,-92.0047,0.9970934862239209,0.0
655608,50291.0,13.2,6.3,16.0,0.0,-0.8090169943749473,-0.5877852522924732,-0.9942179068939521,0.10738134666416306,0.0,1800.0,6.0,6.0,39.31175,-97.1051,0.9842892007321536,0.0
735570,39438.0,96.6,46.9,2.0,1.0,-0.887010833178222,0.4617486132350333,0.8115390590073609,0.5842981736283684,0.0,100.0,2.0,2.0,36.59965,-88.31,0.9374726077428779,0.0
124924,56247.0,88.7,35.3,2.0,1.0,-0.9624552364536472,-0.2714404498650742,-0.9587178169872964,-0.2843591872810036,0.0,0.0,2.0,2.0,34.9508,-92.0527,0.9600044840815106,0.0
173950,54509.0,1204.9,525.5,10.0,0.0,-0.9930684569549264,-0.1175373974578376,0.7526668275320084,-0.6584015846980488,0.0,30.0,1.0,1.0,28.0173,-82.37135,0.8060058778915434,0.0
409451,97188.0,416.3,158.5,4.0,0.0,-0.9600498543859286,-0.2798290140309924,-0.6016240632249227,-0.7987793728863648,0.0,0.0,2.0,2.0,38.51205,-76.6688,0.6177007563682732,0.0
633103,42035.0,113.0,49.6,9.0,0.0,-0.9723699203976768,-0.23344536385590514,0.7856498550787147,-0.6186714032625031,1.0,1200.0,5.5,5.0,36.2315,-97.12799999999999,0.9823952250455544,0.0
516966,71360.0,1.4,0.6,1.0,0.0,-0.9890158633619168,-0.14780941112961046,0.5877852522924732,-0.8090169943749473,0.0,0.0,7.0,7.0,31.8742,-101.37785,0.9990455897367604,0.0
703514,61882.0,130.1,52.9,16.0,0.0,-0.544639035015027,0.838670567945424,0.6932812268869777,-0.7206671495538609,0.0,7800.0,2.5,2.0,35.9949,-95.2847,0.9507008871131576,0.0
751008,61044.0,332.2,138.4,2.0,1.0,-0.4924235601034669,-0.8703556959398998,0.9721181966290612,-0.23449138957040985,0.0,75.0,3.5,3.0,35.091,-81.11,0.9781262126155129,0.0
581839,61275.0,474.7,194.6,17.0,0.0,-0.9575713608048144,-0.2881962681340891,0.8263541987239096,-0.5631507242749186,0.0,3000.0,2.5,2.0,35.2679,-97.496,0.9653819276460786,0.0
132904,55626.0,66.8,27.1,1.0,0.0,0.2164396139381032,-0.9762960071199333,-0.8263541987239094,-0.5631507242749189,0.0,0.0,2.0,2.0,33.06175,-83.80405,0.9945954098690329,0.0
291659,49473.03165642418,170.1744019481447,73.23561810628874,9.0,0.0,0.02181488503456112,0.9997620270799092,0.9033558023246844,-0.4288919379124835,1.0,10560.0,1.5,0.0,31.75175,-92.8636,0.9636738180410184,0.0
