,median_income,population_density,housing_units_density,duration,weekend,sin_time,cos_time,sin_date,cos_date,tornado_intensity,tornado_area,average_range,minimum_range,average_latitude,average_longitude,percent_land,multi_vortex
11273,-1.2300176862644343,-0.1873188178301883,-0.19203719041113523,-0.5172490848282749,-0.5934248239015795,-0.762507091148943,-0.22745648760490708,0.5941430463846793,1.6556860974571816,-0.391644424303328,-0.22762534528407702,-0.0771956296613038,-0.5054682326893317,-1.2010890799121963,0.6540671791254408,0.27973446644412836,-0.07031866989274754
7424,-1.4454382753443118,-0.16894795875998944,-0.1770057782375211,0.648116816485014,-0.5934248239015795,-0.7682392911955065,0.5956717132075484,0.855400771931568,1.3010861485635092,-0.391644424303328,0.10716629955551846,-0.6301774672987327,-0.7848667386744105,0.1939776849030066,1.2048553170249858,0.3894259270684494,-0.07031866989274754
3565,-0.19220582343705805,-0.11397561711481423,-0.12666802584216216,-0.5172490848282749,-0.5934248239015795,2.569101841198969,-0.2889459510859967,-1.3470987321291725,1.9110292213763287,-0.391644424303328,-0.23958218974263398,0.06104982974805342,0.05332877928082591,-0.6375822699963182,0.6587025862796865,0.3246180579805214,-0.07031866989274754
11987,-0.022879967591011487,0.15738020197552757,0.20542131287721965,-0.5172490848282749,-0.5934248239015795,-0.8215378903339394,0.1802058374817403,-1.8208397944912957,-0.42947908089867637,-0.391644424303328,-0.27545272311830493,-0.6301774672987327,-0.5054682326893317,0.6841741455974342,0.714010998549838,0.3966473084810797,-0.07031866989274754
12755,0.16549611010813123,-0.22027417570420915,-0.2346844528572032,0.5024460788208528,-0.5934248239015795,-0.3912051505005004,-0.8803335952603454,0.5450154312958352,-0.6570999478071679,-0.391644424303328,-0.20371165636696306,1.5817498832509829,1.45032130920622,0.0648339040284893,-0.8240506041966807,0.42041869823332517,-0.07031866989274754
10155,-0.4702199986056799,-0.22055464683505185,-0.23957840100675198,-0.3715783471641138,-0.5934248239015795,-0.0695968316069628,-1.148933203880887,-0.013919968686906785,-0.9982806282762131,-0.391644424303328,-0.27545272311830493,1.3052589644322685,1.45032130920622,-0.511177487655726,-1.3219256004573183,0.4194272006545559,-0.07031866989274754
7045,0.43500572194947806,-0.23275514102671066,-0.24831759413094623,9.679702551663,-0.5934248239015795,0.00011105497221449714,-1.1916828527319054,0.08817752073225275,-0.9581474802120672,2.5533364908203096,0.6810948335662536,0.33754074856676786,-0.2260697267042529,1.00369939379916,-1.6245239866282681,0.28146334022846614,-0.07031866989274754
1147,0.9454496128525275,0.05388635469456002,0.053708920241207304,0.06543386582836949,-0.5934248239015795,-0.7064085669177864,0.7785867787432764,0.16282926364712366,-0.9234278833358445,-0.391644424303328,-0.23958218974263398,-0.21544108907066103,-0.2260697267042529,0.7122910190091378,0.3215713476142481,0.269489465727488,-0.07031866989274754
12103,4.450520342555673,0.8601006203019891,0.7434060416026181,-0.2259076094999527,-0.5934248239015795,-0.012724226307469404,-1.1841448620860773,-1.3234038150060794,1.9249353413121233,-0.391644424303328,-0.251539034201191,22.456814254063925,22.684607764072208,-0.6485277295222679,0.9509752462061014,-0.6808757633015902,-0.07031866989274754
4025,-1.9487383330524501,-0.21901205561541684,-0.22909136925771886,0.648116816485014,1.6851334149207275,1.6319815468520897,-1.288848346726509,0.9323917344744279,-0.0917171023784284,-0.391644424303328,-0.03631583394716532,1.1670135050229113,1.1709228032211412,-0.9712976375257191,0.5047785240827689,0.20051960290414,-0.07031866989274754
1135,-1.58822989360926,-0.23668173685850888,-0.2542602454553983,-0.662919822492436,1.6851334149207275,-0.37104898916561874,-0.9015584133025166,0.4191082388742174,-0.763930204286852,-0.391644424303328,-0.27545272311830493,5.729113665531701,5.920697404967481,1.610492915160782,-1.1506575449590377,0.3750487742198754,-0.07031866989274754
11071,-0.8008774207701345,-0.17245384789552357,-0.19063891951126413,-0.662919822492436,-0.5934248239015795,-0.6591080284959328,-0.49445676525330406,-0.14497636318317708,-1.0382860959874918,-0.391644424303328,-0.27545272311830493,-0.6301774672987327,-0.5054682326893317,-2.0053117225210086,-0.7721923744938151,0.38530609469771127,-0.07031866989274754
5488,0.5084851490971346,0.5672887597021784,0.614415551089511,-0.662919822492436,-0.5934248239015795,-0.7663605136545579,-0.21370046148238617,0.813922458472065,1.3729183783607286,-0.391644424303328,-0.26349587865974794,-0.3536865484800183,-0.2260697267042529,-0.4496553667398929,1.1713277335518981,0.2857270244003135,-0.07031866989274754
13257,2.472358912631493,0.2050602942187918,0.2669452324715472,0.06543386582836949,1.6851334149207275,-0.7804927040758252,0.5472370458748733,-2.0282764308766756,-0.04007624220381267,-0.391644424303328,-0.08414321178139324,-0.4919320078893755,-0.5054682326893317,-1.5267138671567748,1.306666729581517,-2.7613818011698648,-0.07031866989274754
7134,-0.6525578363424573,-0.21256121960603405,-0.22629482745797672,-0.2259076094999527,-0.5934248239015795,-0.5930134019450997,1.0032862796414799,0.8487428489015786,-0.266324905287336,-0.391644424303328,-0.22762534528407702,0.33754074856676786,0.3327272852659047,-0.08254528631611181,-0.4496313312743886,0.12468000703945614,-0.07031866989274754
9414,-1.3760410385937472,-0.18661764000308148,-0.1979798417355873,-0.662919822492436,-0.5934248239015795,-0.7144055376087126,-0.36975627336614053,0.6860221802641884,1.5528967077331826,-0.391644424303328,-0.27545272311830493,-0.6301774672987327,-0.5054682326893317,-0.20981390665586488,0.24687737717827687,-0.05178899457715941,-0.07031866989274754
3372,-1.9270516965678988,-0.2173292288303605,-0.2297905047076544,-0.8085905601565971,1.6851334149207275,1.8825957849124573,-1.1569389862079935,0.9323917344744279,-0.0917171023784284,-0.391644424303328,-0.27545272311830493,0.47578620797612514,0.6121257912509835,-1.0158906405799506,0.44484091002270343,0.30877978530041017,-0.07031866989274754
4980,1.3014506337322618,-0.19951931202184706,-0.21510866025900804,1.5221412424699805,-0.5934248239015795,-0.7925619333230479,-0.10262181855744287,1.0281282733844743,0.8063406916658754,2.5533364908203096,2.759194400463457,0.19929528915741065,-0.2260697267042529,0.8911792271036132,-0.2716614823000881,0.40710121691442847,-0.07031866989274754
3919,-0.00638111473609786,-0.23191372763418244,-0.24761845868101068,0.06543386582836949,-0.5934248239015795,-0.10667571204613453,-1.1243045204121382,0.5450154312958352,-0.6570999478071679,-0.391644424303328,-0.22762534528407702,0.33754074856676786,0.3327272852659047,-0.2626344399216149,-0.9279097869819986,0.32821491148805715,-0.07031866989274754
10606,3.165395778171138,-0.22111558909673734,-0.23922883328178424,-0.2259076094999527,-0.5934248239015795,-0.8199532042556894,0.2655321059781567,0.18730765204906047,-0.910992506202929,-0.391644424303328,-0.22762534528407702,1.028768045613554,1.1709228032211412,0.3666926116864044,-1.5044750083068994,0.4303042183834333,-0.07031866989274754
