EVENT_ID,median_income,population_density,housing_units_density,duration,weekend,sin_time,cos_time,sin_date,cos_date,casualties,tornado_intensity,tornado_area,average_range,minimum_range,average_latitude,average_longitude,percent_land,multi_vortex
758690,46556.0,1.3,0.7,0.0,0,-0.6211477802783106,0.7836934573258396,0.8631421280499114,-0.5049610547215204,0,0,0.0,33.0,33.0,30.29,-101.5,0.9999928758437673,0
752504,47512.0,44.7,18.8,2.0,0,-0.08106874734813892,-0.9967085121555869,0.7961828637826158,-0.6050560696488488,0,0,70.0,3.5,3.0,43.03195,-90.6312,0.9691635540081465,0
752513,61421.0,162.3,74.4,5.0,0,-0.33133788846257073,-0.9435121640281937,0.7295575540864875,-0.6839194216246106,0,0,525.0,1.0,1.0,42.076350000000005,-73.96465,0.9685378545091148,0
757169,56543.0,170.1744019481447,73.23561810628873,20.0,0,-0.9969173337331281,0.07845909572784432,0.5307300481619334,-0.8475409228928311,0,0,0.0,0.5,0.0,41.3754,-88.6773,0.9636738180410185,0
755889,50993.0,10.1,4.0,1.0,0,-0.9942448326331055,0.10713175431387302,0.5595892624101765,-0.8287700871745038,0,0,0.0,4.0,4.0,36.544,-101.637,0.9963781556904935,0
752516,73680.0,373.9,149.1,1.0,0,-0.34365969458561546,-0.9390942520947093,0.7295575540864875,-0.6839194216246106,0,0,0.0,3.5,3.0,42.071250000000006,-73.92484999999999,0.9639910341067426,0
755890,50993.0,10.1,4.0,3.0,0,-0.950244253402386,0.3115057926840878,0.5595892624101765,-0.8287700871745038,0,0,400.0,3.5,3.0,36.632999999999996,-101.26,0.9963781556904935,0
757095,45886.0,1315.5,521.4,3.0,0,-0.9659258262890682,0.25881904510252113,0.545240438540651,-0.8382797052177744,0,0,0.0,1.5,1.0,25.4939,-80.4501,0.7805756875262219,0
782817,37842.0,38.5,28.5,2.0,0,-0.9208454801410263,0.38992768778818804,-0.8359254794186365,-0.5488429582847199,0,0,0.0,2.0,2.0,44.32245,-84.1663,0.9800678319853899,0
782819,43339.0,43.8,27.0,2.0,0,-0.9156625933395611,0.40194777665596,-0.8359254794186365,-0.5488429582847199,0,0,0.0,4.0,4.0,44.0797,-83.97319999999999,0.5335615331501858,0
771750,63707.0,45.3,19.9,3.0,0,-0.984195607969242,-0.17708474031958307,0.3456123126707335,-0.9383773917408641,0,0,0.0,5.0,5.0,40.94425,-96.00704999999999,0.9850854406333387,0
760408,70866.0,716.7,298.6,3.0,0,-0.6066823510019999,-0.7949443533875099,-0.42500033996955394,-0.9051931898913975,1,0,50.0,6.5,6.0,39.6075,-104.2025,0.9908869686134286,0
782592,51053.0,1.7,0.8,9.0,0,-0.9747611941912216,-0.22325011601095174,-0.7856498550787144,-0.6186714032625032,0,0,50.0,18.5,18.0,44.78445,-99.52915,0.9935114415683377,0
782597,51053.0,1.7,0.8,6.0,0,-0.9817933219112157,-0.18995229151168447,-0.7856498550787144,-0.6186714032625032,0,0,0.0,18.0,18.0,44.7915,-99.46625,0.9935114415683377,0
782665,59951.0,303.8,111.1,30.0,0,-0.4999999999999997,-0.8660254037844388,-0.7055836101071774,-0.70862667826446,0,0,0.0,1.0,1.0,33.56229999999999,-116.6876,0.9867267663642512,0
771375,63707.0,45.3,19.9,1.0,0,-0.9135454576426005,-0.4067366430758009,0.3456123126707335,-0.9383773917408641,0,0,0.0,0.5,0.0,41.0,-96.155,0.9850854406333387,0
770107,52592.0,2.4,1.3,3.0,1,-0.9610207909775256,0.27647610983398013,0.26366549272800704,-0.9646141756912435,0,0,0.0,10.5,10.0,44.6351,-98.79145,0.9975211431904344,0
771651,63707.0,45.3,19.9,3.0,0,-0.9832549075639547,-0.18223552549214692,0.3456123126707335,-0.9383773917408641,0,0,0.0,5.0,5.0,40.973299999999995,-96.01565,0.9850854406333387,0
773625,69064.0,528.6,216.3,2.0,0,0.36081082648764173,0.9326390231430941,-0.4093559588156211,-0.9123747579707274,0,0,100.0,0.5,0.0,42.174099999999996,-71.6235,0.9566739910967015,0
770117,52592.0,2.4,1.3,2.0,1,-0.954240328516277,0.29904079225608626,0.26366549272800704,-0.9646141756912435,0,0,0.0,11.0,11.0,44.635099999999994,-98.73635,0.9975211431904344,0
